2025-04-22 17:56:05,900 [INFO] ===== Initializing Economic Simulation =====
2025-04-22 17:56:05,902 [INFO] Creating worker 98 at (6, 18)
2025-04-22 17:56:05,902 [INFO] Creating worker 99 at (13, 19)
2025-04-22 17:56:54,568 [INFO] ===== Initializing Economic Simulation =====
2025-04-22 17:56:54,568 [INFO] Creating factory 0 for product FOOD
2025-04-22 17:56:54,568 [INFO] Created FOOD factory at (5, 10)
2025-04-22 17:56:54,568 [INFO] Creating factory 1 for product LIGHT_INDUSTRY
2025-04-22 17:56:54,568 [INFO] Created LIGHT_INDUSTRY factory at (10, 10)
2025-04-22 17:56:54,568 [INFO] Creating factory 2 for product HEAVY_INDUSTRY
2025-04-22 17:56:54,569 [INFO] Created HEAVY_INDUSTRY factory at (15, 10)
2025-04-22 17:56:54,569 [INFO] Creating worker 0 at (4, 5)
2025-04-22 17:56:54,569 [INFO] Creating worker 1 at (11, 12)
2025-04-22 17:56:54,569 [INFO] Creating worker 2 at (4, 13)
2025-04-22 17:56:54,569 [INFO] Creating worker 3 at (9, 11)
2025-04-22 17:56:54,569 [INFO] Creating worker 4 at (13, 13)
2025-04-22 17:56:54,569 [INFO] Creating worker 5 at (19, 8)
2025-04-22 17:56:54,569 [INFO] Creating worker 6 at (2, 13)
2025-04-22 17:56:54,569 [INFO] Creating worker 7 at (4, 9)
2025-04-22 17:56:54,569 [INFO] Creating worker 8 at (7, 0)
2025-04-22 17:56:54,569 [INFO] Creating worker 9 at (13, 4)
2025-04-22 17:56:54,569 [INFO] Creating worker 10 at (14, 4)
2025-04-22 17:56:54,569 [INFO] Creating worker 11 at (6, 2)
2025-04-22 17:56:54,569 [INFO] Creating worker 12 at (2, 15)
2025-04-22 17:56:54,569 [INFO] Creating worker 13 at (8, 3)
2025-04-22 17:56:54,569 [INFO] Creating worker 14 at (3, 17)
2025-04-22 17:56:54,569 [INFO] Creating worker 15 at (0, 16)
2025-04-22 17:56:54,569 [INFO] Creating worker 16 at (12, 9)
2025-04-22 17:56:54,569 [INFO] Creating worker 17 at (12, 16)
2025-04-22 17:56:54,569 [INFO] Creating worker 18 at (1, 2)
2025-04-22 17:56:54,569 [INFO] Creating worker 19 at (8, 18)
2025-04-22 17:56:54,569 [INFO] Creating worker 20 at (0, 10)
2025-04-22 17:56:54,569 [INFO] Creating worker 21 at (13, 10)
2025-04-22 17:56:54,569 [INFO] Creating worker 22 at (1, 16)
2025-04-22 17:56:54,569 [INFO] Creating worker 23 at (6, 4)
2025-04-22 17:56:54,569 [INFO] Creating worker 24 at (17, 0)
2025-04-22 17:56:54,569 [INFO] Creating worker 25 at (9, 18)
2025-04-22 17:56:54,569 [INFO] Creating worker 26 at (3, 13)
2025-04-22 17:56:54,569 [INFO] Creating worker 27 at (17, 17)
2025-04-22 17:56:54,569 [INFO] Creating worker 28 at (18, 7)
2025-04-22 17:56:54,569 [INFO] Creating worker 29 at (3, 12)
2025-04-22 17:56:54,569 [INFO] Creating worker 30 at (10, 13)
2025-04-22 17:56:54,569 [INFO] Creating worker 31 at (6, 0)
2025-04-22 17:56:54,569 [INFO] Creating worker 32 at (14, 2)
2025-04-22 17:56:54,569 [INFO] Creating worker 33 at (0, 5)
2025-04-22 17:56:54,569 [INFO] Creating worker 34 at (4, 2)
2025-04-22 17:56:54,569 [INFO] Creating worker 35 at (7, 2)
2025-04-22 17:56:54,569 [INFO] Creating worker 36 at (18, 2)
2025-04-22 17:56:54,569 [INFO] Creating worker 37 at (6, 1)
2025-04-22 17:56:54,570 [INFO] Creating worker 38 at (18, 4)
2025-04-22 17:56:54,570 [INFO] Creating worker 39 at (6, 13)
2025-04-22 17:56:54,570 [INFO] Creating worker 40 at (12, 5)
2025-04-22 17:56:54,570 [INFO] Creating worker 41 at (10, 8)
2025-04-22 17:56:54,570 [INFO] Creating worker 42 at (18, 17)
2025-04-22 17:56:54,570 [INFO] Creating worker 43 at (2, 10)
2025-04-22 17:56:54,570 [INFO] Creating worker 44 at (4, 15)
2025-04-22 17:56:54,570 [INFO] Creating worker 45 at (14, 13)
2025-04-22 17:56:54,570 [INFO] Creating worker 46 at (10, 6)
2025-04-22 17:56:54,570 [INFO] Creating worker 47 at (5, 1)
2025-04-22 17:56:54,570 [INFO] Creating worker 48 at (8, 16)
2025-04-22 17:56:54,570 [INFO] Creating worker 49 at (10, 7)
2025-04-22 17:56:54,570 [INFO] Creating worker 50 at (0, 0)
2025-04-22 17:56:54,570 [INFO] Creating worker 51 at (12, 2)
2025-04-22 17:56:54,570 [INFO] Creating worker 52 at (5, 8)
2025-04-22 17:56:54,570 [INFO] Creating worker 53 at (7, 16)
2025-04-22 17:56:54,570 [INFO] Creating worker 54 at (11, 9)
2025-04-22 17:56:54,570 [INFO] Creating worker 55 at (8, 8)
2025-04-22 17:56:54,570 [INFO] Creating worker 56 at (1, 6)
2025-04-22 17:56:54,570 [INFO] Creating worker 57 at (19, 7)
2025-04-22 17:56:54,570 [INFO] Creating worker 58 at (14, 17)
2025-04-22 17:56:54,570 [INFO] Creating worker 59 at (2, 9)
2025-04-22 17:56:54,570 [INFO] Creating worker 60 at (14, 5)
2025-04-22 17:56:54,570 [INFO] Creating worker 61 at (19, 4)
2025-04-22 17:56:54,570 [INFO] Creating worker 62 at (2, 17)
2025-04-22 17:56:54,570 [INFO] Creating worker 63 at (18, 19)
2025-04-22 17:56:54,570 [INFO] Creating worker 64 at (19, 19)
2025-04-22 17:56:54,570 [INFO] Creating worker 65 at (2, 1)
2025-04-22 17:56:54,570 [INFO] Creating worker 66 at (19, 3)
2025-04-22 17:56:54,570 [INFO] Creating worker 67 at (15, 9)
2025-04-22 17:56:54,570 [INFO] Creating worker 68 at (17, 11)
2025-04-22 17:56:54,570 [INFO] Creating worker 69 at (15, 8)
2025-04-22 17:56:54,570 [INFO] Creating worker 70 at (14, 14)
2025-04-22 17:56:54,570 [INFO] Creating worker 71 at (18, 5)
2025-04-22 17:56:54,570 [INFO] Creating worker 72 at (2, 16)
2025-04-22 17:56:54,570 [INFO] Creating worker 73 at (7, 4)
2025-04-22 17:56:54,570 [INFO] Creating worker 74 at (13, 11)
2025-04-22 17:56:54,570 [INFO] Creating worker 75 at (6, 19)
2025-04-22 17:56:54,570 [INFO] Creating worker 76 at (3, 19)
2025-04-22 17:56:54,570 [INFO] Creating worker 77 at (7, 15)
2025-04-22 17:56:54,570 [INFO] Creating worker 78 at (0, 9)
2025-04-22 17:56:54,570 [INFO] Creating worker 79 at (15, 19)
2025-04-22 17:56:54,571 [INFO] Creating worker 80 at (9, 6)
2025-04-22 17:56:54,571 [INFO] Creating worker 81 at (4, 11)
2025-04-22 17:56:54,571 [INFO] Creating worker 82 at (4, 18)
2025-04-22 17:56:54,571 [INFO] Creating worker 83 at (15, 12)
2025-04-22 17:56:54,571 [INFO] Creating worker 84 at (4, 7)
2025-04-22 17:56:54,571 [INFO] Creating worker 85 at (5, 15)
2025-04-22 17:56:54,571 [INFO] Creating worker 86 at (1, 0)
2025-04-22 17:56:54,571 [INFO] Creating worker 87 at (16, 8)
2025-04-22 17:56:54,571 [INFO] Creating worker 88 at (19, 15)
2025-04-22 17:56:54,571 [INFO] Creating worker 89 at (0, 14)
2025-04-22 17:56:54,571 [INFO] Creating worker 90 at (17, 16)
2025-04-22 17:56:54,571 [INFO] Creating worker 91 at (8, 14)
2025-04-22 17:56:54,571 [INFO] Creating worker 92 at (15, 14)
2025-04-22 17:56:54,571 [INFO] Creating worker 93 at (13, 1)
2025-04-22 17:56:54,571 [INFO] Creating worker 94 at (9, 15)
2025-04-22 17:56:54,571 [INFO] Creating worker 95 at (3, 5)
2025-04-22 17:56:54,571 [INFO] Creating worker 96 at (13, 0)
2025-04-22 17:56:54,571 [INFO] Creating worker 97 at (9, 13)
2025-04-22 17:56:54,571 [INFO] Creating worker 98 at (3, 16)
2025-04-22 17:56:54,571 [INFO] Creating worker 99 at (1, 10)
2025-04-22 17:57:10,593 [INFO] ===== Initializing Economic Simulation =====
2025-04-22 17:57:10,593 [INFO] Creating factory 0 for product FOOD
2025-04-22 17:57:10,593 [INFO] Created FOOD factory at (5, 10)
2025-04-22 17:57:10,593 [INFO] Creating factory 1 for product LIGHT_INDUSTRY
2025-04-22 17:57:10,593 [INFO] Created LIGHT_INDUSTRY factory at (10, 10)
2025-04-22 17:57:10,593 [INFO] Creating factory 2 for product HEAVY_INDUSTRY
2025-04-22 17:57:10,593 [INFO] Created HEAVY_INDUSTRY factory at (15, 10)
2025-04-22 17:57:10,593 [INFO] Creating worker 0 at (15, 0)
2025-04-22 17:57:10,593 [INFO] Creating worker 1 at (15, 13)
2025-04-22 17:57:10,593 [INFO] Creating worker 2 at (4, 16)
2025-04-22 17:57:10,593 [INFO] Creating worker 3 at (17, 14)
2025-04-22 17:57:10,593 [INFO] Creating worker 4 at (10, 19)
2025-04-22 17:57:10,593 [INFO] Creating worker 5 at (11, 6)
2025-04-22 17:57:10,593 [INFO] Creating worker 6 at (16, 14)
2025-04-22 17:57:10,593 [INFO] Creating worker 7 at (1, 18)
2025-04-22 17:57:10,593 [INFO] Creating worker 8 at (7, 10)
2025-04-22 17:57:10,593 [INFO] Creating worker 9 at (16, 6)
2025-04-22 17:57:10,593 [INFO] Creating worker 10 at (8, 10)
2025-04-22 17:57:10,593 [INFO] Creating worker 11 at (7, 2)
2025-04-22 17:57:10,593 [INFO] Creating worker 12 at (5, 15)
2025-04-22 17:57:10,593 [INFO] Creating worker 13 at (4, 7)
2025-04-22 17:57:10,593 [INFO] Creating worker 14 at (0, 14)
2025-04-22 17:57:10,593 [INFO] Creating worker 15 at (5, 19)
2025-04-22 17:57:10,593 [INFO] Creating worker 16 at (15, 12)
2025-04-22 17:57:10,593 [INFO] Creating worker 17 at (18, 0)
2025-04-22 17:57:10,593 [INFO] Creating worker 18 at (3, 4)
2025-04-22 17:57:10,593 [INFO] Creating worker 19 at (3, 9)
2025-04-22 17:57:10,593 [INFO] Creating worker 20 at (14, 7)
2025-04-22 17:57:10,593 [INFO] Creating worker 21 at (8, 0)
2025-04-22 17:57:10,593 [INFO] Creating worker 22 at (2, 11)
2025-04-22 17:57:10,593 [INFO] Creating worker 23 at (2, 18)
2025-04-22 17:57:10,594 [INFO] Creating worker 24 at (0, 3)
2025-04-22 17:57:10,594 [INFO] Creating worker 25 at (15, 19)
2025-04-22 17:57:10,594 [INFO] Creating worker 26 at (2, 7)
2025-04-22 17:57:10,594 [INFO] Creating worker 27 at (4, 3)
2025-04-22 17:57:10,594 [INFO] Creating worker 28 at (7, 8)
2025-04-22 17:57:10,594 [INFO] Creating worker 29 at (5, 2)
2025-04-22 17:57:10,594 [INFO] Creating worker 30 at (14, 0)
2025-04-22 17:57:10,594 [INFO] Creating worker 31 at (10, 6)
2025-04-22 17:57:10,594 [INFO] Creating worker 32 at (19, 10)
2025-04-22 17:57:10,594 [INFO] Creating worker 33 at (13, 6)
2025-04-22 17:57:10,594 [INFO] Creating worker 34 at (17, 6)
2025-04-22 17:57:10,594 [INFO] Creating worker 35 at (3, 16)
2025-04-22 17:57:10,594 [INFO] Creating worker 36 at (10, 9)
2025-04-22 17:57:10,594 [INFO] Creating worker 37 at (1, 4)
2025-04-22 17:57:10,594 [INFO] Creating worker 38 at (5, 1)
2025-04-22 17:57:10,594 [INFO] Creating worker 39 at (2, 10)
2025-04-22 17:57:10,594 [INFO] Creating worker 40 at (4, 19)
2025-04-22 17:57:10,594 [INFO] Creating worker 41 at (0, 11)
2025-04-22 17:57:10,594 [INFO] Creating worker 42 at (17, 12)
2025-04-22 17:57:10,594 [INFO] Creating worker 43 at (14, 8)
2025-04-22 17:57:10,594 [INFO] Creating worker 44 at (16, 9)
2025-04-22 17:57:10,594 [INFO] Creating worker 45 at (8, 6)
2025-04-22 17:57:10,594 [INFO] Creating worker 46 at (11, 13)
2025-04-22 17:57:10,594 [INFO] Creating worker 47 at (19, 0)
2025-04-22 17:57:10,594 [INFO] Creating worker 48 at (10, 14)
2025-04-22 17:57:10,594 [INFO] Creating worker 49 at (13, 10)
2025-04-22 17:57:10,594 [INFO] Creating worker 50 at (1, 5)
2025-04-22 17:57:10,594 [INFO] Creating worker 51 at (11, 12)
2025-04-22 17:57:10,594 [INFO] Creating worker 52 at (11, 7)
2025-04-22 17:57:10,594 [INFO] Creating worker 53 at (19, 17)
2025-04-22 17:57:10,594 [INFO] Creating worker 54 at (13, 15)
2025-04-22 17:57:10,594 [INFO] Creating worker 55 at (16, 19)
2025-04-22 17:57:10,594 [INFO] Creating worker 56 at (10, 2)
2025-04-22 17:57:10,594 [INFO] Creating worker 57 at (2, 12)
2025-04-22 17:57:10,594 [INFO] Creating worker 58 at (10, 3)
2025-04-22 17:57:10,594 [INFO] Creating worker 59 at (17, 13)
2025-04-22 17:57:10,594 [INFO] Creating worker 60 at (6, 0)
2025-04-22 17:57:10,594 [INFO] Creating worker 61 at (6, 12)
2025-04-22 17:57:10,594 [INFO] Creating worker 62 at (2, 0)
2025-04-22 17:57:10,594 [INFO] Creating worker 63 at (13, 8)
2025-04-22 17:57:10,594 [INFO] Creating worker 64 at (8, 16)
2025-04-22 17:57:10,594 [INFO] Creating worker 65 at (18, 8)
2025-04-22 17:57:10,594 [INFO] Creating worker 66 at (16, 10)
2025-04-22 17:57:10,594 [INFO] Creating worker 67 at (12, 0)
2025-04-22 17:57:10,595 [INFO] Creating worker 68 at (17, 16)
2025-04-22 17:57:10,595 [INFO] Creating worker 69 at (1, 3)
2025-04-22 17:57:10,595 [INFO] Creating worker 70 at (6, 17)
2025-04-22 17:57:10,595 [INFO] Creating worker 71 at (12, 5)
2025-04-22 17:57:10,595 [INFO] Creating worker 72 at (16, 3)
2025-04-22 17:57:10,595 [INFO] Creating worker 73 at (18, 15)
2025-04-22 17:57:10,595 [INFO] Creating worker 74 at (3, 15)
2025-04-22 17:57:10,595 [INFO] Creating worker 75 at (12, 1)
2025-04-22 17:57:10,595 [INFO] Creating worker 76 at (9, 5)
2025-04-22 17:57:10,595 [INFO] Creating worker 77 at (3, 0)
2025-04-22 17:57:10,595 [INFO] Creating worker 78 at (0, 6)
2025-04-22 17:57:10,595 [INFO] Creating worker 79 at (17, 9)
2025-04-22 17:57:10,595 [INFO] Creating worker 80 at (0, 10)
2025-04-22 17:57:10,595 [INFO] Creating worker 81 at (17, 19)
2025-04-22 17:57:10,595 [INFO] Creating worker 82 at (11, 4)
2025-04-22 17:57:10,595 [INFO] Creating worker 83 at (15, 11)
2025-04-22 17:57:10,595 [INFO] Creating worker 84 at (2, 6)
2025-04-22 17:57:10,595 [INFO] Creating worker 85 at (12, 18)
2025-04-22 17:57:10,595 [INFO] Creating worker 86 at (18, 2)
2025-04-22 17:57:10,595 [INFO] Creating worker 87 at (13, 0)
2025-04-22 17:57:10,595 [INFO] Creating worker 88 at (19, 4)
2025-04-22 17:57:10,595 [INFO] Creating worker 89 at (18, 4)
2025-04-22 17:57:10,595 [INFO] Creating worker 90 at (1, 14)
2025-04-22 17:57:10,595 [INFO] Creating worker 91 at (15, 7)
2025-04-22 17:57:10,595 [INFO] Creating worker 92 at (8, 2)
2025-04-22 17:57:10,595 [INFO] Creating worker 93 at (12, 15)
2025-04-22 17:57:10,595 [INFO] Creating worker 94 at (15, 2)
2025-04-22 17:57:10,595 [INFO] Creating worker 95 at (6, 8)
2025-04-22 17:57:10,595 [INFO] Creating worker 96 at (3, 12)
2025-04-22 17:57:10,595 [INFO] Creating worker 97 at (12, 17)
2025-04-22 17:57:10,595 [INFO] Creating worker 98 at (9, 13)
2025-04-22 17:57:10,595 [INFO] Creating worker 99 at (2, 14)
2025-04-22 17:57:10,595 [INFO] 
=== Day 1 ===
2025-04-22 17:57:10,595 [INFO] Factory 0 adjusted production: 100 -> 99 (Sold ratio: 1.00, Wage: 15.8)
2025-04-22 17:57:10,595 [INFO] Factory 1 adjusted production: 100 -> 99 (Sold ratio: 1.00, Wage: 15.8)
2025-04-22 17:57:10,595 [INFO] Factory 2 adjusted production: 100 -> 99 (Sold ratio: 1.00, Wage: 15.8)
2025-04-22 18:00:20,164 [INFO] ===== Initializing Economic Simulation =====
2025-04-22 18:00:20,164 [INFO] Creating factory 0 for product FOOD
2025-04-22 18:00:20,164 [INFO] Created FOOD factory at (5, 10)
2025-04-22 18:00:20,164 [INFO] Creating factory 1 for product LIGHT_INDUSTRY
2025-04-22 18:00:20,164 [INFO] Created LIGHT_INDUSTRY factory at (10, 10)
2025-04-22 18:00:20,165 [INFO] Creating factory 2 for product HEAVY_INDUSTRY
2025-04-22 18:00:20,165 [INFO] Created HEAVY_INDUSTRY factory at (15, 10)
2025-04-22 18:00:20,165 [INFO] Creating worker 0 at (3, 6)
2025-04-22 18:00:20,165 [INFO] Creating worker 1 at (8, 0)
2025-04-22 18:00:20,165 [INFO] Creating worker 2 at (8, 15)
2025-04-22 18:00:20,165 [INFO] Creating worker 3 at (1, 17)
2025-04-22 18:00:20,165 [INFO] Creating worker 4 at (19, 5)
2025-04-22 18:00:20,165 [INFO] Creating worker 5 at (16, 15)
2025-04-22 18:00:20,165 [INFO] Creating worker 6 at (14, 17)
2025-04-22 18:00:20,165 [INFO] Creating worker 7 at (3, 12)
2025-04-22 18:00:20,165 [INFO] Creating worker 8 at (6, 7)
2025-04-22 18:00:20,165 [INFO] Creating worker 9 at (10, 4)
2025-04-22 18:00:20,165 [INFO] Creating worker 10 at (4, 5)
2025-04-22 18:00:20,165 [INFO] Creating worker 11 at (2, 3)
2025-04-22 18:00:20,165 [INFO] Creating worker 12 at (4, 9)
2025-04-22 18:00:20,165 [INFO] Creating worker 13 at (14, 14)
2025-04-22 18:00:20,165 [INFO] Creating worker 14 at (17, 6)
2025-04-22 18:00:20,165 [INFO] Creating worker 15 at (3, 19)
2025-04-22 18:00:20,165 [INFO] Creating worker 16 at (7, 11)
2025-04-22 18:00:20,165 [INFO] Creating worker 17 at (18, 0)
2025-04-22 18:00:20,165 [INFO] Creating worker 18 at (15, 13)
2025-04-22 18:00:20,165 [INFO] Creating worker 19 at (10, 17)
2025-04-22 18:00:20,165 [INFO] Creating worker 20 at (9, 16)
2025-04-22 18:00:20,165 [INFO] Creating worker 21 at (1, 1)
2025-04-22 18:00:20,165 [INFO] Creating worker 22 at (5, 1)
2025-04-22 18:00:20,165 [INFO] Creating worker 23 at (0, 7)
2025-04-22 18:00:20,165 [INFO] Creating worker 24 at (3, 1)
2025-04-22 18:00:20,165 [INFO] Creating worker 25 at (8, 7)
2025-04-22 18:00:20,165 [INFO] Creating worker 26 at (3, 11)
2025-04-22 18:00:20,165 [INFO] Creating worker 27 at (12, 6)
2025-04-22 18:00:20,165 [INFO] Creating worker 28 at (19, 13)
2025-04-22 18:00:20,165 [INFO] Creating worker 29 at (0, 4)
2025-04-22 18:00:20,165 [INFO] Creating worker 30 at (4, 16)
2025-04-22 18:00:20,165 [INFO] Creating worker 31 at (13, 19)
2025-04-22 18:00:20,165 [INFO] Creating worker 32 at (2, 12)
2025-04-22 18:00:20,165 [INFO] Creating worker 33 at (15, 12)
2025-04-22 18:00:20,165 [INFO] Creating worker 34 at (11, 11)
2025-04-22 18:00:20,165 [INFO] Creating worker 35 at (4, 12)
2025-04-22 18:00:20,165 [INFO] Creating worker 36 at (9, 10)
2025-04-22 18:00:20,165 [INFO] Creating worker 37 at (9, 14)
2025-04-22 18:00:20,165 [INFO] Creating worker 38 at (7, 15)
2025-04-22 18:00:20,165 [INFO] Creating worker 39 at (0, 14)
2025-04-22 18:00:20,166 [INFO] Creating worker 40 at (13, 3)
2025-04-22 18:00:20,166 [INFO] Creating worker 41 at (1, 12)
2025-04-22 18:00:20,166 [INFO] Creating worker 42 at (2, 8)
2025-04-22 18:00:20,166 [INFO] Creating worker 43 at (1, 18)
2025-04-22 18:00:20,166 [INFO] Creating worker 44 at (16, 1)
2025-04-22 18:00:20,166 [INFO] Creating worker 45 at (12, 2)
2025-04-22 18:00:20,166 [INFO] Creating worker 46 at (18, 7)
2025-04-22 18:00:20,166 [INFO] Creating worker 47 at (19, 7)
2025-04-22 18:00:20,166 [INFO] Creating worker 48 at (0, 5)
